DATE,PROGRESS
04-08-26,"Four workstreams across 12 files: (A) Email routing unified per-page + admin config simplified - lib/form-destinations.ts: every page destination now has a category (products/services/cloud/modules/others), added contact (/contact) and find-solution (/find-solution) destinations, grouped into DESTINATION_CATEGORIES; app/admin/email-config/page.tsx: merged the confusing dual (old per-form-type + new per-page) structure into ONE 'Recipients by Page' editor grouped by enquiry category with route paths and one receiver input per page (legacy editor removed from UI, server fallback kept); app/api/contact/route.ts: inline sidebar forms (product/cloud/HRMS/contact/find-solution pages) are now destination-aware - resolves destination from body or Referer URL, saves submission, then sendEmailDirect() inline with requestId dedupe + rate limiting; lib/email.ts: replyTo set only when the submitted email is valid so phone-only enquiry forms never risk a Resend rejection. (B) Contact page redesign - app/(site)/contact/page.tsx rewritten as a settings-driven client component (pasted design template): fetches /api/settings, prefills form from URL query (?service|reason, ?message|details), posts to /api/contact with formType 'general'; full-width 'Connect with Us' social grid (WhatsApp/Facebook/Instagram/LinkedIn inline SVGs, settings-driven) at the bottom; Google Map embedded INSIDE the green location card replacing the 'Open in Maps' link; removed the 'Office Address Code 121 / Support Time' card; Call Us / Email Support / Support Hours contact band with shared hover effect; app/layout.tsx: Playfair Display added via next/font/google (--font-playfair, CSP-safe); app/globals.css: .font-playfair/.font-inter utilities added. (C) HRMS pricing converted to Contact Sales - app/(site)/hrms/page.tsx: replaced the 'View Price' toggle table with the server-page-style Contact Sales card (icon, 'Contact Sales for Pricing', custom-quote copy, quote-modal button), removed unused showPricing state. (D) Email test destination-awareness - scripts/email-test.mjs: tss-renewal asserted against diag.destinations['tss-renewal'] (per-page map) instead of the legacy diag.formRecipients, since it always posts destination 'tss-renewal'; 6 non-destination form types still checked against formRecipients. TypeScript clean, next build clean (101 pages)."
05-08-26,"cPanel static frontend + Vercel backend (deployment trial): (A) middleware.ts added CORS to /api/* for the cPanel origin - allowlist from FRONTEND_ALLOWED_ORIGINS env (plus Vercel origin + localhost default), OPTIONS preflight 204, ACAO echo; needs Vercel deploy + env var to go live. (B) New cpanel-landing/ standalone Next 15 static export (output: export, trailingSlash) producing a ~1.1 MB out/ folder: full Tailwind v4 landing page (hero, 8-card services grid, TallyDrive/TallyCapital/TallyPrime products, why-us, contact, footer; real branding +91 98213 09060, info@sarvadnyainfotech.com); EnquiryForm client component posting {name,email,contact,service,description,formType:landing,destination:contact,requestId} to /api/email/submit (exactly-once dedupe); ChatWidget floating Ask Sara posting to /api/chat with [[Label|/url]] links + offline fallback; lib/api.ts API_BASE/SITE_BASE (NEXT_PUBLIC override); public logo + .htaccess Apache trailing-slash rewrite; DEPLOYMENT.md full manual (Vercel env, zip out contents -> public_html, 9-point test battery, troubleshooting). (C) Root tsconfig excludes cpanel-landing. Verified: build clean (1.13 MB, 34 files, .htaccess copied), local preview 200, live backend smoke (chat answered, email submit ok=true saved=true sent=true), root typecheck clean."
06-08-26,"Global teal theme rebrand (#006569) across the entire site plus trial-copy cleanup: (A) Trial copy fixed - products/server CTA rewritten to set up a trial of TallyPrime Server (no free/10-day wording), mobile-app-biz renamed to Start Your Trial. (B) Full green-to-teal swap committed as dbcb347 teal (89 files) - all brand greens (#316852, #4A6E62, #1A4731, #2B6338, #3D5E52, #2C3F36, #5D887A) mapped to #006569; deep shades #1E4D3A/#123323/#113021 to #045A57; #14291B to #033B38; light tints #F0F5F2/#F0F7F3/#E8F0EB to #E5F4F4, #E0EDE6 to #D4EAEA, #C5DACF to #B8DEDE, #EAF2ED to #DDEFEF, #dcede3 to #C5E3E3, #E5EBE8 to #D9E8E8, #F6F8F7 to #E8F0F0; rgba (49,104,82)/(26,71,49)/(93,136,122)/(44,63,54) to (0,101,105) and (20,41,27) to (3,59,56); emerald-NN/green-NN Tailwind utilities to teal-NN (60 files). Homepage components themed first (HomeHero/CertifiedPartners/CustomerReviews/HomeStat/FAQ/Footer), Productbar reverted to cream navbar gradient, leftover #069494 in NewsFeed fixed. WhatsApp green #25D366 (13) + hover #1ebe5b preserved. (C) Non-utility greens converted - cPanel landing brand ramp sky-blue to teal in globals.css with emerald success classes to teal; lib/palettes.ts Emerald Professional renamed Teal Corporate (#00897b/#005a4e/#2dd4bf) and Ocean Deep accent #72B896 to #14b8a6; product-theme.ts accent #10b981 to #14b8a6 with #14b8a6-to-#2dd4bf gradient and cardBg rgba(0,101,105,0.7); cloud page tag tint #dcf0e0 to #cdebe5; bootstrap partner seed gradient to #0d9488-to-#006569. Verified: 0 leftover green utilities/hexes, cpanel-landing build clean (0 sky-blue in export), root typecheck clean, root build clean (101 pages), live CORS OPTIONS 204 with ACAO en.sarvadnyainfotech.com."
07-08-26,"Eight workstreams across 12 files: (A) Navbar company name added right of the logo image (ported from cPanel /out navbar, same font/size), then boosted +50% and made responsive (13px mobile / 16px sm / 18.9px lg, tagline 9/11/13.5px). (B) Palette route fully removed - app/(site)/colour/page.tsx deleted, Navbar Palette link removed, /colour dropped from app/sitemap.ts, stale .next types purged. (C) Navbar + Productbar set temporarily to pure white with teal #006569 hover (Contact button, labels, items) for testing. (D) HomeHero stats converted to pill badges under CTAs (Trusted by 1,500+ MSMEs / 15+ Years Experience / 300+ Queries Solved Monthly); HomeStat statbar removed from app/(site)/page.tsx. (E) Footer recolored to teal - bg gradient #033B38 to #045A57, orbs #E9F1FA to #D4EAEA, link hover to #B8DEDE. (F) Productbar megamenu hover bg raised from teal-50 to teal-100. (G) HomeHero rewritten to a single slide (609 to 217 lines) - removed carousel, DEFAULT_HERO array, VISUAL/ECOSYSTEM_SCHEMES, processHeroData, nav arrows, dev slide, layout renderers, preload loop; homepage no longer fetches home_hero, /demo passes hero={demoHeroData[0]}. (H) Productbar new AI menu item (md+ only, hidden md:flex) - Sparkles SVG, subItems Chat with Sara (/ask-sara), Learn with Sara (/learn-sara), Smart Suggest (/find-solution), Site Search (/search), auto-right anchored as last item. Verified: typecheck clean, build clean after clearing stale .next (100 static pages, no /colour), test:api 12/12, test:sara 16/16."
07-08-26,"Follow-up fixes: (A) /find-solution blue-to-teal conversion - the Smart Suggest page was missed in the teal rebrand; mapped #00ABE4/#0371a3/#f0f9ff/#e0f2fe and all blue-NN utilities to the teal palette (#006569/#045A57/#E5F4F4/#D4EAEA + teal-NN, shadows to shadow-teal-900), zero blue tokens left. (B) Ask Sara modal fixed for client-side navigation - /ask-sara redirects to /?ask-sara=true but SupportButton only checked the URL on mount, so the soft redirect (pathname never changes) never opened the modal; added a 400ms URL poll + hashchange/popstate handlers + history.replaceState cleanup of the ask-sara=true param so closing the modal doesn't re-trigger. (C) Learn Sara bold rendering - the model emits single-asterisk *tally* which SaraText only rendered literally; added a single-asterisk emphasis tokenizer branch so *text* and **text** both render bold (guarded against spaced * x * and bullets). (D) /search redesigned as a Google-style starting page - centered Sarvadnya Infotech wordmark + Site Search label, long pill search bar with magnifier/clear/teal Search button/autofocus, quick action chips, Quick Reference page-chip row, Popular Searches chips that run the search, and a compact Google-style refine bar in the results header. Verified: typecheck clean, build clean (100 static pages)."
10-08-26,"Three workstreams across 11 files: (A) Teal scheme audit - swept last leftover brand greens: cloud/page.tsx gradient (#2d6a46/#428f81 -> #006569/#14b8a6) + CTA button (#2e6b4b/#225239 -> #006569/#045A57), SearchBar hover (#245a40 -> #045A57), NewsFeed hover (#1e4a3a -> #045A57), services/tss CTA band (#3a5c52 -> #045A57), lib/theme.ts default rewritten purple -> teal (#006569/#E5F4F4/#0f172a/#334155/#ffffff); verified user's uncommitted contact/page.tsx + Productbar.tsx teal tweaks; zero leftover greens, WhatsApp green preserved, typecheck clean. (B) Sara AI factual correctness overhaul - Learn Sara was hallucinating a fictional TSS Renewal menu/toggle; rewrote LEARN_SYSTEM_PROMPT with a FACTUAL ACCURACY block (never invent menu paths, no second-path guessing when user says option missing, correct statutory thresholds) + verified Create-a-new-company steps + verified TSS renewal flow (TSS works on ALL licenses Silver/Gold/Server; renew from inside TallyPrime via Alt+R 'Manage TSS Renewal' on Gateway of Tally or F1 Help > Settings > License > Manage License > F9; opens Tally renewal portal with serial/billing pre-filled, 1yr or 2yr/10% discount, validity syncs back; red warning ~15 days before expiry, +1 month if renewed early; expired stops e-invoicing/e-way bills/GST auto-filing/banking/Remote Access-WhatsApp, offline entry keeps working); SALES prompt TSS line updated; lib/sara-topics.ts added TSS Renewal & Subscription topic (2 follow-ups) + TSS fallback pattern in getTeachingFallbackResponse and getFallbackResponse (AMC-guarded renew(?!.*amc)); verified matchTopic: 'how to newnew tss in marathi' -> TSS topic (12), 'renew my amc' correctly not TSS; typecheck clean. (C) Sitemap/robots fix - robots.ts advertised a misspelled sitemap URL (sarvdnya-infotech.vercel.app, missing 'a') so search engines fetched the wrong/404 domain; also contradictory allow/disallow rules; corrected to sarvadnya-infotech.vercel.app/sitemap.xml with clean rules (disallow /admin/, /api/admin/, /api/, /ask-sara); removed /ask-sara from sitemap.ts for consistency; typecheck clean. Full details in daily logs/2026-08-10.md."

14-08-26,"Module catalog rebuild (official 6 modules, MSME salesman tone; Excel-to-Tally disabled/commented for later; nav + refs synced; DB reseeded). Module pricing: single-price model {label, price} + View Price reveal with a simple addition game in ModuleModal (2-col Package|Price table, Hide link); prices CFA Rs 25,000/-, SalesMan Rs 4,500/-, Container Rs 18,000/- (invoice format not included), Garment Rs 15,000/-, Housing Rs 18,000/- (implementation charges extra), Transport TBD; DB reseeded + verified. ModuleCard Watch/Brochure buttons fixed to h-10 whitespace-nowrap and pinned to card bottom (mt-auto) for consistent alignment. YouTube global social link added (settings/API/admin form/bootstrap seed/.env, Footer, contact grid lg:grid-cols-5, cpanel-landing) -> https://www.youtube.com/@sarvadnyainfotechtally. Production fix: /modules next/image crash from backslash image path (logistics-transport) in MongoDB corrected to forward slashes. Site-wide dead-code cleanup: deleted 11 unused components (CloudBackupSection, QuickAccessHub, QuickReference, ShapeGrid, SplitScreenHero, SplitScreenLandingPage, TrackSection, hero-polygon-left/right, RippleGrid.jsx/.css) + orphaned lib/settings.ts and product-theme.ts; removed dead imports in 9 pages, unused home-page getModules() fetch, unused lib exports (getSetting/getModule/getPartnersByType/getSubmissions, clearClientCache, isInternalRecipient, getDestinationCategory, deleteFromMega, newsItems, modules array), and 6 unused React states; commented code preserved. TypeScript clean."
18-08-26,"Eleven workstreams across 15 files: (A) /demo Video Hero Background - added optional backgroundVideo prop to HomeHero (muted autoplaying loop, object-cover, opacity 0.75) with 40% black overlay for darkness; decorative blobs hidden, main bg transparent when video active. (B) Dark-Mode Hero Text Readability - introduced isDark flag from backgroundVideo; when active all hero text flips to white/light: badge glassmorphic bg-white/10 + text-teal-200, title text-white, highlights text-teal-300, description text-white/80, stats pills bg-white/10 + text-white/70, icons text-teal-300. Zero impact on default light hero. (C) /demo Layout Gap Fix - iterated pt-32 -> pt-12 -> pt-4 -> pt-0 to remove whitespace between sticky navbar and video hero. (D) /demo Hero Image Sync - changed demo hero image from /sa2.png to /certified partner person.png matching real homepage HERO_CONTENT default. (E) AGENTS.md - 4 new developer rules: Never Assume, Minimal Code/Use Libraries, Document All Changes, Validate Before Completing. (F) Data Collection GPC Gating Removed - recordVisitor() no longer respects GPC, full IP/geo/reverseDNS/proxy data always stored in visitors collection; identify, email/submit, and contact routes all updated. (G) UTM Parameter Tracking - new UtmParams interface + utmSource/Medium/Campaign/Content/Term fields on TrackPayload/VisitorRecord; VisitorProvider parses UTM from URLSearchParams and sends in beacon; UnifiedContactModal passes UTM in form body; email/submit captures and persists UTM. (H) Reverse DNS / Proxy Detection - lookupReverseDns() via dns.promises.reverse() + applyReverseDns() batch-updates MongoDB; async non-blocking calls in identify and email/submit after geo lookup; GeoInfo extended with reverseDns/isProxy/isVpn/isTor. (I) Admin Submissions Excel Export - xlsx (SheetJS) installed; getSubmissionsPaginated() extended with text search across name/email/ip/service/geo; exportAllSubmissions() for full dump; admin page gets search input, Excel export button (all fields incl. IP/geo/reverseDNS/proxy/VPN/Tor/UTM), IP+Proxy+Country table columns, enhanced detail modal. (J) Privacy Policy & Terms Rewrite - privacy page rewritten with new data collection scope (reverse DNS, proxy/VPN/Tor, UTM) + Marketing Consent section (Section 3); terms Section 3 updated with same scope + consent box; GPC opt-out language removed. (K) TypeScript clean after every edit."
20-08-26,"Six workstreams across 8 files: (A) Module Descriptions 20% Trim - seed_modules.mjs: all 6 modules shortDescription + fullDescription reduced by ~20%; product-nav.ts static fallback descriptions synced. (B) CFA Module Title Simplified - removed (Clearing & Forwarding Agencies) from seed title + pricing label; ProductBar keeps short description for context. (C) ProductBar Company + Services Expansion - product-nav.ts: Company (6 items) and Services (6 items) descriptions expanded for richer context. (D) Module Image References Corrected - Container Handling: 1552664730-d307ca884978.jpg -> /contaner-mgt.jpg, Housing Society: 1486406146926-c627a92ad1ab.jpg -> /housing society.png (existing files in public/). (E) HomeHero Desktop Compact - lg:min-h-[500px] -> lg:min-h-[450px] (10% reduction). (F) Custom Error Pages - 3 new pages: not-found.tsx (404 random MSME/Tally punchlines + contact info), error.tsx (runtime reset + punchline), global-error.tsx (root layout crash inline styles). Contact: info@sarvadnyainfotech.com +91 98213 09060. (G) Contact Us Button Fix - not-found.tsx default white bg + green border/text hover inverts to green bg + white text. (H) Daily log + Excel tracker updated."
21-08-26,"Seven workstreams across 8 files: (A) Zoho SalesIQ root-cause fix - widget never loaded because next.config.js CSP had zero Zoho domains (script-src/connect-src/frame-src all blocked salesiq.zohopublic.in silently); embed method also fixed from two order-unsafe next/script afterInteractive blocks to client-verbatim raw SSR script tags in root layout body (inline $zoho init before deferred #zsiqscript) so it renders on every page. (B) Chatbot removed per client - scripts + CSP fully reverted first, then re-added tracking-only: same widget script powers visitor analytics, ready-hook hides chat button via floatbutton/chatbutton visible(hide), and globals.css CSS suppression layer targets the live DOM node #zs_fl_chat + span.siqico-chat.zsiq-chat-icn + #zsiqwidget + #zsiq_float + iframe[src*=salesiq] with display:none !important; CSP Zoho domains restored for tracking beacons (script/style/img/font/connect incl wss/frame); dashboard-side widget visibility toggle suggested as permanent alternative. (C) New /addons route - lib/addons.ts static catalog (client chose static over MongoDB): all 73 client-listed TDL add-ons transcribed with light typo copyedit + drafted blurbs, then trimmed to top 20 most-demanded per client; page has hero, sticky useMemo search bar over title+description with live counter, full-width single-column memoized cards with anchor ids + scroll-mt-28 for nav deep links, Submit Requirement CTA opening UnifiedContactModal prefilled Add-on: <title> with destination=addons, empty-state custom-request CTA. (D) Form routing - form-destinations.ts new addons category + destination key (paths [/addons]); admin email-config picks it up automatically via DESTINATION_CATEGORIES iteration (receiver opt-in). (E) Sitemap - /addons added, build now 105 static pages. (F) ProductBar Modules split - dropdown restructured into Business Modules group (m-group, 6 nested module links) + new Addons column (a-group, header link + 5 featured picks + View All); dynamic /api/modules merge logic now fills only m-group subItems instead of replacing whole array; per-item descriptions dropped from nav links and megamenu spacing tightened globally (group gap-1.5->0.5, nested gap-2->0.5 ml/pl reduced, py-1.5->1) after too-much-gap feedback; 73+ count mention removed everywhere. (G) Build stability - recurring PageNotFoundError Cannot find module for page (random page each run) root-caused to npm run dev Turbopack rewriting .next during production builds + low RAM (7.5GB total/1.3GB free) starving jest-workers; discipline: stop dev server before build; next.config.js experimental.cpus:1 added. Verified: tsc clean, build clean 105 pages, prod checks (zsiqscript + hide hook in HTML, zs_fl_chat rule in main stylesheet, CSP allows Zoho, /addons 200 with exactly 20 cards no count mentions), dev server restarted on :3000. Full details in daily logs/2026-08-21.md."
24-08-26,"Eight workstreams across 6 files: (A) Navbar cream gradient lightened two steps to near-white (254/251/248 tones). (B) Productbar transparency removed - final solid bg-teal-700 after iteration (/90 -> /75 -> /60 -> reverted /90 -> solid per client). (C) Navbar small bottom shadow synced to Productbar visibility via new productbar:visibility CustomEvent (shadow only while bar is scroll-hidden, 300ms transition). (D) Productbar megamenu submenu gaps gap-0.5 -> gap-1 (very slight loosening of 21-08 compaction). (E) Footer overhaul: WhatsApp icon removed from socialLinks (floating button unaffected); social buttons rounded-full -> rounded-lg; Get In Touch email+phone icons text-yellow-400 -> text-white; mailto anchor break-all + min-w-0 stops right overflow; duplicate vertical legal links deleted from Company Info column - bottom bar is now the single row and gained Report a Problem (flex-wrap one-line layout). (F) Two Footer JSX syntax errors introduced during edits caught by dev build and fixed (comment between <a> attributes; missing + stray closing div) - tag balance re-verified programmatically (12/12 divs). (G) FAQ View More pagination in faq.tsx - PAGE_SIZE=5, visibleCount slice render, View More FAQs (+N remaining) reveals 5 more, Show Less collapses back, category switch resets to 5. (H) Social links wired end-to-end: YouTube @sarvadnyainfotechtally and Instagram https://www.instagram.com/sarvadnya.infotech/ (@sarvadnya.infotech) upserted into MongoDB settings collection with readback verification; .env/.env.example updated (Instagram URL replaced, handle keys added); admin /admin/settings already exposed all four inputs; scripts/bootstrap.mjs seed bug fixed -  loops lacked upsert:true so missing keys were never inserted on fresh DBs (email + social loops corrected) and Instagram entries added to social seed."
27-08-26,"Nine workstreams across ~74 files: (A) Canonical domain cutover to bare https://sarvadnyainfotech.com (old .vercel.app still works alongside): lib/seo.ts new central config (SITE_URL/SITE_NAME/SEO helpers + JSON-LD builders orgJsonLd/localBusinessJsonLd/webSiteJsonLd/faqJsonLd/breadcrumbJsonLd); app/sitemap.ts all URLs from SITE_URL + added /report-problem; app/robots.ts Sitemap -> sarvadnyainfotech.com/sitemap.xml; next.config.js CSP img-src/connect-src allow new domain; middleware DEFAULT_ALLOWED_ORIGINS includes new + old; cpanel-landing/lib/api.ts left untouched per scope. (B) Full per-page SEO metadata across all ~40 routes: root layout metadata (metadataBase/title template/description/keywords/icons/OG/Twitter) + Organization + WebSite JSON-LD injected in body; (site) layout title template; home page metadata + localBusinessJsonLd (4 JSON-LD scripts render); 35 'use client' pages got metadata moved into colocated server layout.tsx files (correct pattern); server-only pages ask-sara/demo/news keep direct export; theme-settings gained a metadata export for full coverage. (C) Title de-duplication fix - seoMetadata now returns absolute final <title> and appends '| Sarvadnya Infotech LLP' only when title lacks the brand, fixing home page double-brand '...Since 2008 | Sarvadnya Infotech LLP'. (D) Hero whitespace fix HomeHero.tsx - QuickAccess overhang -mt-10/lg:-mt-12 -> -mt-16/lg:-mt-20 so straddling cards sit flush against video bottom (user's videoRef removal preserved); verified via DOM: overhang -80px, cards->next-section gap 0px. (E) Dependency cleanup - removed unused class-variance-authority/ogl/radix-ui/react-colorful/xlsx (deps) + babel-plugin-react-compiler (devDep); build regression caught: shadcn is actually required via @import 'shadcn/tailwind.css' in app/globals.css (CSS import missed by TS grep) so shadcn restored; remaining cleanup genuinely unused. (F) cpanel-landing found emptied (16 uncommitted working-tree deletions) not from session edits - restored all 16 files from git HEAD. (G) Verify live on prod server: sitemap 38 URLs + robots on new domain, canonicals/titles correct, home JSON-LD. (H) Theme-settings metadata added for full route coverage. (I) Docs: SITEMAP.md version+canonical updated, daily log 2026-08-27.md created, excel tracker row added. tsc + npm run build clean (EXIT 0)."
